bh_id,b_id,r_id,c_id
107,b000021,r06302,c000124
108,b000021,r06302,c000669
109,b000021,BBR0120,c000587
110,b000021,BBR0120,c000226
111,b000021,BBR0120,c000833
112,b000021,BBR0120,c000289
113,b000021,r03103,c000669
114,b000022,BBR0121,c000404
115,b000022,r04304,c000893
116,b000022,r04304,c000680
117,b000022,r04304,c000910
118,b000023,BBR0129,c000821
119,b000023,BBR0129,c000668
120,b000023,BBR0129,c000603
121,b000024,r02402,c000924
122,b000024,BBR038,c000355
123,b000024,BBR038,c000851
124,b000024,BBR038,c000831
125,b000024,BBR038,c000351
126,b000024,r05701,c000393
127,b000025,BBR0132,c000805
128,b000025,BBR0132,c000788
129,b000025,r03201,c000204
130,b000025,r02904,c000515
131,b000025,r02904,c000485
132,b000025,r03205,c000460
133,b000025,r03205,c000365
134,b000025,r03205,c000863
135,b000025,r03205,c000356
136,b000025,r03205,c000471
137,b000025,r03205,c000803
138,b000026,r02703,c000403
139,b000026,r03305,c000728
140,b000026,r03305,c000894
141,b000026,r03305,c000569
142,b000026,BBR088,c000527
143,b000026,BBR088,c000998
144,b000026,BBR088,c000218
145,b000026,GGC0100,c000465
146,b000026,GGC0100,c000120
147,b000026,GGC0100,c000389
148,b000026,GGC0100,c000937
149,b000027,r04501,c000599
150,b000027,r04501,c000671
151,b000028,BBR077,c000643
152,b000028,r00805,c000083
153,b000028,r00805,c000371
154,b000028,r00805,c000853
155,b000028,GGC059,c000889
156,b000029,BBR075,c000791
157,b000029,BBR075,c000495
158,b000029,BBR075,c000632
159,b000029,BBR075,c000312
160,b000029,BBR075,c000886
161,b000029,BBR075,c000390
162,b000029,GGC054,c000658
163,b000029,BBR0107,c000599
164,b000029,BBR0107,c000773
165,b000029,BBR0107,c000386
166,b000029,BBR0107,c000967
167,b000029,BBR095,c000988
168,b000029,BBR095,c000736
169,b000029,BBR095,c000549
170,b000029,BBR095,c000693
171,b000029,BBR095,c000621
172,b000029,BBR095,c000669
173,b000030,r03204,c000759
174,b000030,r03204,c000583
175,b000031,GGC081,c000514
176,b000031,GGC081,c000961
177,b000031,r01805,c000694
178,b000031,r01805,c000004
179,b000031,r01805,c000820
180,b000031,r01805,c000254
181,b000031,BBR0112,c000984
182,b000031,r01804,c000201
183,b000031,r01804,c000380
184,b000031,r01804,c000431
185,b000031,r01804,c000349
186,b000032,r02803,c000618
187,b000032,r02803,c000035
188,b000032,r04105,c000732
189,b000032,r04105,c000647
190,b000032,r04105,c000513
191,b000032,r02902,c000201
192,b000032,r02902,c000284
193,b000032,r00902,c000445
194,b000033,BBR0140,c000355
195,b000033,r01504,c000594
196,b000033,r01504,c000523
197,b000033,r01504,c000604
198,b000034,BBR0115,c000642
199,b000034,BBR0115,c000361
200,b000034,BBR0115,c000155
201,b000035,r02202,c000200
202,b000036,r02704,c000554
203,b000036,r02704,c000202
204,b000036,r03101,c000065
205,b000036,r03101,c000664
206,b000036,r00803,c000242
207,b000036,r04103,c000837
208,b000037,BBR073,c000399
209,b000037,BBR073,c000922
210,b000037,BBR073,c000590
211,b000038,r03504,c000390
212,b000038,r03504,c000054
213,b000039,BBR027,c000612
214,b000039,BBR027,c000829
215,b000040,BBR036,c000128
216,b000040,BBR036,c000705
217,b000040,r02104,c000184
218,b000040,r02104,c000816
219,b000040,r02104,c000702
220,b000040,r02104,c000243
221,b000040,BBR0124,c000441
222,b000040,BBR0124,c000559
223,b000040,BBR0124,c000401
224,b000040,BBR0124,c000899
225,b000041,r01803,c000382
226,b000041,r01803,c000544
227,b000042,BBR021,c000509
228,b000042,GGC042,c000621
229,b000043,r02605,c000117
230,b000043,r02605,c000001
231,b000043,r02605,c000323
232,b000043,r02605,c000784
233,b000043,r02605,c000962
234,b000043,r02605,c000586
235,b000044,BBR0138,c000854
236,b000044,BBR0138,c000004
237,b000044,BBR0138,c000086
238,b000044,B0BR05,c000959
239,b000044,B0BR05,c000895
240,b000044,B0BR05,c000293
241,b000044,B0BR05,c000891
242,b000044,B0BR05,c000016
243,b000044,B0BR05,c000310
244,b000044,r01902,c000706
245,b000044,r01902,c000713
246,b000044,r04600,c000949
247,b000044,r04600,c000571
248,b000044,r04600,c000748
249,b000044,r04600,c000685
250,b000045,BBR059,c000212
251,b000045,BBR059,c000312
252,b000045,BBR059,c000897
253,b000045,BBR059,c000285
254,b000045,r01104,c000817
255,b000045,r01104,c000217
256,b000046,BBR0104,c000210
257,b000046,BBR0104,c000275
258,b000046,GGC068,c000018
259,b000046,GGC068,c000013
260,b000046,GGC068,c000682
261,b000046,GGC068,c000137
262,b000047,B0BR02,c000469
263,b000047,r01102,c000282
264,b000047,BBR033,c000376
265,b000048,r01502,c000393
266,b000048,r02103,c000220
267,b000048,r02103,c000214
268,b000049,r04205,c000046
269,b000049,r04205,c000519
270,b000049,r04205,c000558
271,b000049,r04205,c000114
272,b000049,r04205,c000234
273,b000049,r04205,c000194
274,b000049,B0BR03,c000379
275,b000049,B0BR03,c000432
276,b000049,r01602,c000197
277,b000049,GGC044,c000508
278,b000049,GGC044,c000413
279,b000049,GGC044,c000462
280,b000049,GGC044,c000347
281,b000050,BBR0161,c000103
282,b000050,G0GC01,c000276
283,b000051,GGC018,c000889
284,b000051,GGC018,c000935
285,b000051,GGC018,c000940
286,b000051,GGC018,c000208
287,b000051,r06100,c000065
288,b000051,r06100,c000871
289,b000051,r06100,c000079
290,b000051,r06100,c000097
291,b000051,BBR057,c000563
292,b000051,BBR057,c000089
293,b000051,BBR057,c000707
294,b000051,BBR057,c000664
295,b000052,r02601,c000222
296,b000052,r02601,c000955
297,b000052,r01402,c000975
298,b000052,r01402,c000492
299,b000052,r02801,c000864
300,b000052,GGC072,c000260
301,b000053,r04102,c000436
302,b000053,r04102,c000981
303,b000053,BBR069,c000361
304,b000053,BBR069,c000086
305,b000053,r04005,c000166
306,b000053,r04005,c000750
307,b000053,r04005,c000965
308,b000053,r04005,c000506
309,b000054,GGC098,c000331
310,b000054,GGC098,c000799
311,b000055,r04303,c000700
312,b000055,r04303,c000598
313,b000055,r04303,c000949
314,b000055,BBR0159,c000749
315,b000055,BBR0159,c000328
316,b000055,BBR0159,c000822
317,b000056,r02603,c000093
318,b000056,r02603,c000085
319,b000056,BBR0153,c000706
320,b000056,BBR0153,c000543
321,b000056,BBR0153,c000202
322,b000056,BBR0153,c000919
323,b000057,GGC084,c000137
324,b000057,GGC084,c000140
325,b000057,GGC084,c000882
326,b000057,GGC087,c000484
327,b000057,GGC087,c000430
328,b000058,BBR080,c000623
329,b000058,BBR080,c000199
330,b000058,BBR080,c000509
331,b000058,r03502,c000627
332,b000058,r03005,c000142
333,b000058,r03005,c000091
334,b000058,r03005,c000476
335,b000059,r03104,c000771
336,b000059,r01201,c000010
337,b000060,r01903,c000187
338,b000060,GGC040,c000384
339,b000060,GGC040,c000676
340,b000060,GGC040,c000556
341,b000060,GGC040,c000801
342,b000061,BBR097,c000890
343,b000061,BBR097,c000002
344,b000061,BBR0141,c000417
345,b000062,B0BR07,c000847
346,b000062,B0BR07,c000938
347,b000062,BBR054,c000180
348,b000062,BBR054,c000929
349,b000062,BBR054,c000764
350,b000062,GGC064,c000738
351,b000062,GGC064,c000125
352,b000062,GGC064,c000142
353,b000062,GGC064,c000302
354,b000063,GGC065,c000602
355,b000063,GGC065,c000979
356,b000063,GGC065,c000680
357,b000063,GGC065,c000188
358,b000063,GGC065,c000375
359,b000064,GGC027,c000817
360,b000064,GGC027,c000419
361,b000064,GGC027,c000389
362,b000064,GGC027,c000250
363,b000064,r04003,c000426
364,b000064,r04003,c000554
365,b000064,r04003,c000551
366,b000064,r04003,c000583
367,b000065,GGC052,c000739
368,b000065,GGC052,c000573
369,b000066,r04301,c000098
370,b000066,r04301,c000227
371,b000067,BBR0160,c000918
372,b000067,BBR0160,c000911
373,b000067,BBR0160,c000730
374,b000068,r02903,c000084
375,b000068,r02903,c000849
376,b000068,r02903,c000072
377,b000068,r02903,c000393
378,b000068,BBR076,c000109
379,b000068,BBR076,c000446
380,b000068,BBR076,c000780
381,b000068,BBR076,c000332
382,b000068,BBR044,c000264
383,b000068,BBR044,c000525
384,b000068,BBR0154,c000491
385,b000068,BBR0154,c000556
386,b000069,GGC041,c000375
387,b000070,BBR0106,c000523
388,b000070,BBR0106,c000027
389,b000070,BBR0106,c000161
390,b000070,BBR0106,c000750
391,b000070,r02505,c000033
392,b000070,r02505,c000158
393,b000070,r02505,c000561
394,b000071,BBR0108,c000770
395,b000071,GGC021,c000728
396,b000071,GGC021,c000533
397,b000072,BBR0139,c000295
398,b000073,BBR0150,c000403
399,b000073,BBR0150,c000787
400,b000073,BBR0150,c000278
401,b000073,BBR0150,c000142
402,b000073,r04901,c000326
403,b000074,BBR020,c000430
404,b000075,r04504,c000173
405,b000075,r03102,c000120
406,b000075,r03102,c000166
407,b000075,BBR087,c000112
408,b000075,BBR087,c000160
409,b000075,GGC073,c000224
410,b000075,GGC073,c000703
411,b000076,GGC022,c000862
412,b000076,BBR0158,c000501
413,b000076,BBR0158,c000994
414,b000076,BBR0131,c000703
415,b000076,BBR0131,c000261
416,b000077,GGC082,c000869
417,b000077,r03904,c000935
418,b000077,r03904,c000266
419,b000077,r03904,c000397
420,b000077,r03904,c000354
421,b000077,r03604,c000229
422,b000077,r03604,c000705
423,b000077,GGC014,c000053
424,b000077,GGC014,c000849
425,b000077,GGC014,c000398
426,b000078,GGC0107,c000267
427,b000078,GGC0107,c000493
428,b000078,GGC0107,c000770
429,b000078,BBR0144,c000088
430,b000079,r01704,c000468
431,b000079,r01704,c000576
432,b000079,r06300,c000917
433,b000080,r04503,c000382
434,b000080,r05902,c000771
435,b000080,r05902,c000989
436,b000080,BBR067,c000266
437,b000080,BBR067,c000617
438,b000081,BBR0113,c000478
439,b000081,BBR0113,c000938
440,b000081,BBR0113,c000529
441,b000081,GGC099,c000001
442,b000081,GGC099,c000040
443,b000081,r03802,c000232
444,b000081,r03802,c000818
445,b000082,BBR019,c000468
446,b000082,BBR019,c000736
447,b000083,BBR011,c000479
448,b000083,BBR011,c000118
449,b000083,BBR0130,c000150
450,b000084,BBR063,c000343
451,b000084,BBR063,c000381
452,b000084,BBR063,c000093
453,b000084,BBR0110,c000237
454,b000085,GGC020,c000407
455,b000085,GGC020,c000161
456,b000085,GGC020,c000034
457,b000085,r02404,c000285
458,b000085,r02404,c000180
459,b000085,r02404,c000354
460,b000085,r02404,c000010
461,b000085,r06201,c000761
462,b000086,BBR078,c000584
463,b000086,B0BR09,c000566
464,b000087,r02802,c000691
465,b000088,r03301,c000613
466,b000089,r01002,c000162
467,b000089,r01604,c000490
468,b000089,r01604,c000045
469,b000089,BBR062,c000532
470,b000089,BBR062,c000093
471,b000090,GGC024,c000945
472,b000090,GGC024,c000350
473,b000090,GGC024,c000453
474,b000090,r05900,c000477
475,b000090,r05900,c000660
476,b000090,r02201,c000795
477,b000090,r02201,c000861
478,b000090,BBR043,c000934
479,b000090,BBR043,c000719
480,b000090,BBR043,c000219
481,b000091,GGC049,c000721
482,b000091,GGC049,c000275
483,b000091,r02503,c000967
484,b000091,r02503,c000245
485,b000091,r02503,c000676
486,b000091,G0GC06,c000794
487,b000091,G0GC06,c000418
488,b000091,G0GC06,c000797
489,b000091,G0GC06,c000509
490,b000092,r06101,c000838
491,b000093,r03605,c000211
492,b000093,r03605,c000843
493,b000093,r03605,c000917
494,b000093,r03605,c000777
495,b000094,r02901,c000044
496,b000094,BBR0126,c000172
497,b000094,BBR0126,c000636
498,b000094,BBR0126,c000535
499,b000094,BBR079,c000436
500,b000094,BBR079,c000220
501,b000094,BBR079,c000801
502,b000094,GGC091,c000716
503,b000095,r01204,c000812
504,b000095,r01204,c000781
505,b000095,r01204,c000443
506,b000095,r01204,c000651
507,b000095,BBR0149,c000879
508,b000095,BBR0149,c000951
509,b000095,BBR0149,c000179
510,b000095,BBR0149,c000332
511,b000096,r00802,c000976
512,b000096,GGC070,c000528
513,b000096,GGC070,c000044
514,b000096,BBR030,c000723
515,b000096,BBR030,c000826
516,b000096,BBR030,c000352
517,b000096,BBR030,c000985
518,b000096,r03601,c000476
519,b000096,r03601,c000203
520,b000097,GGC0102,c000037
521,b000098,BBR0155,c000237
522,b000098,BBR0155,c000216
523,b000098,BBR0155,c000270
524,b000098,BBR0155,c000296
525,b000098,BBR0155,c000503
526,b000098,BBR0155,c000647
527,b000099,r04302,c000312
528,b000099,r04302,c000032
529,b000100,r06102,c000400
530,b000100,BBR0111,c000496
531,b000100,BBR0111,c000664
532,b000100,r01505,c000927
533,b000100,r01505,c000619
534,b000100,r01505,c000852
535,b000100,GGC080,c000148
536,b000101,BBR022,c000963
537,b000101,r01601,c000688
538,b000101,r01601,c000419
539,b000102,BBR039,c000968
540,b000102,BBR039,c000630
541,b000102,BBR039,c000011
542,b000102,BBR039,c000699
543,b000102,r02502,c000306
544,b000103,GGC050,c000964
545,b000103,GGC050,c000559
546,b000103,GGC050,c000852
547,b000103,GGC050,c000943
548,b000103,BBR0102,c000421
549,b000104,r05802,c000871
550,b000104,r05802,c000591
551,b000104,r05802,c000033
552,b000104,r05802,c000411
553,b000105,r05001,c000101
554,b000105,r05001,c000642
555,b000105,r05001,c000244
556,b000105,BBR0135,c000021
557,b000105,BBR0135,c000601
558,b000105,BBR0135,c000406
559,b000105,BBR0135,c000195
560,b000106,r04004,c000680
561,b000106,r04004,c001000
562,b000106,r04004,c000352
563,b000107,r01503,c000761
564,b000107,r01503,c000503
565,b000107,r01503,c000108
566,b000107,r01503,c000308
567,b000108,r03503,c000843
568,b000108,r03503,c000548
569,b000108,r01001,c000752
570,b000108,r03004,c000416
571,b000108,r03004,c000835
572,b000108,BBR037,c000233
573,b000108,BBR037,c000329
574,b000108,BBR037,c000916
575,b000109,r01501,c000323
576,b000109,r01501,c000102
577,b000109,r03403,c000702
578,b000109,r03403,c000468
579,b000109,r03403,c000757
580,b000110,GGC060,c000757
581,b000110,GGC060,c000240
582,b000110,GGC060,c000098
583,b000110,r03905,c000393
584,b000110,r03905,c000483
585,b000110,r03905,c000613
586,b000110,r03905,c000677
587,b000110,r03905,c000370
588,b000110,r03905,c000473
589,b000110,BBR0125,c000939
590,b000110,BBR0125,c000895
591,b000110,BBR0125,c000380
592,b000110,BBR0125,c000110
593,b000111,r03602,c000586
594,b000111,r03602,c000770
595,b000111,r03105,c000865
596,b000111,r03105,c000459
597,b000111,r03105,c000347
598,b000111,r03105,c000736
599,b000112,BBR029,c000759
600,b000112,BBR029,c000251
601,b000112,BBR029,c000781
602,b000112,BBR029,c000367
603,b000113,BBR0114,c000094
604,b000114,r01905,c000027
605,b000114,r01905,c000849
606,b000114,r01905,c000263
607,b000114,r02203,c000431
608,b000114,BBR0162,c000874
609,b000115,BBR0103,c000888
610,b000115,BBR0103,c000275
611,b000115,BBR0103,c000345
612,b000115,r01403,c000707
613,b000115,r01403,c000759
614,b000115,r01403,c000038
615,b000115,r01403,c000509
616,b000116,r05801,c000387
617,b000116,r05801,c000578
618,b000116,r05801,c000569
619,b000116,r05801,c000117
620,b000117,BBR0136,c000368
621,b000117,BBR0133,c000967
622,b000118,r01004,c000916
623,b000118,r01004,c000927
624,b000118,r01004,c000718
625,b000119,GGC075,c000639
626,b000119,GGC075,c000548
627,b000119,GGC075,c000862
628,b000119,GGC075,c000342
629,b000119,GGC075,c000555
630,b000119,GGC075,c000286
631,b000119,G0GC05,c000419
632,b000119,G0GC05,c000604
633,b000119,G0GC05,c000952
634,b000119,G0GC05,c000786
635,b000119,G0GC05,c000181
636,b000120,GGC0105,c000525
637,b000120,GGC0105,c000558
638,b000120,GGC0105,c000580
639,b000120,GGC0105,c000747
640,b000120,GGC0105,c000901
641,b000120,GGC010,c000671
642,b000121,r04403,c000488
643,b000121,r04403,c000287
644,b000121,r04403,c000294
645,b000121,r04403,c000995
646,b000122,r04001,c000793
647,b000122,BBR0143,c000683
648,b000122,BBR0143,c000221
649,b000122,BBR0143,c000492
650,b000122,BBR0143,c000382
651,b000122,r05901,c000131
652,b000122,r05901,c000685
653,b000122,r05901,c000858
654,b000122,r05901,c000611
655,b000122,BBR0142,c000827
656,b000122,BBR0142,c000776
657,b000123,r04505,c000135
658,b000123,r04505,c000359
659,b000123,r04505,c000005
660,b000124,G0GC02,c000224
661,b000124,BBR058,c000737
662,b000124,BBR058,c000192
663,b000125,r03401,c000319
664,b000126,r02805,c000738
665,b000126,r02805,c000914
666,b000126,r02805,c000945
667,b000126,r02805,c000160
668,b000126,r02805,c000257
669,b000126,r02805,c000129
670,b000127,BBR048,c000704
671,b000127,BBR048,c000410
672,b000127,BBR048,c000944
673,b000128,GGC034,c000919
674,b000128,GGC034,c000595
675,b000128,GGC034,c000247
676,b000128,BBR0145,c000883
677,b000128,BBR0145,c000056
678,b000128,BBR0145,c000011
679,b000128,BBR0145,c000742
680,b000128,BBR0145,c000824
681,b000128,BBR0145,c000983
682,b000129,BBR0118,c000808
683,b000129,BBR0118,c000876
684,b000129,BBR0118,c000027
685,b000129,BBR0118,c000970
686,b000129,BBR035,c000246
687,b000129,BBR035,c000122
688,b000129,BBR035,c000372
689,b000129,BBR035,c000741
690,b000129,BBR035,c000587
691,b000130,r04204,c000724
692,b000130,r04204,c000328
693,b000130,r04204,c000347
694,b000130,r03302,c000388
695,b000130,r03302,c000216
696,b000130,BBR028,c000349
697,b000130,BBR028,c000421
698,b000130,BBR028,c000563
699,b000130,BBR028,c000416
700,b000130,r01701,c000199
701,b000130,r01701,c000296
702,b000131,BBR016,c000622
703,b000132,r04202,c000930
704,b000132,r04202,c000495
705,b000133,r06001,c000634
706,b000133,r06001,c000300
707,b000133,r06001,c000056
708,b000133,r06001,c000927
709,b000133,r01105,c000223
710,b000133,r01105,c000565
711,b000133,r01105,c000779
712,b000133,GGC069,c000329
713,b000133,GGC069,c000907
714,b000133,GGC069,c000115
715,b000134,GGC076,c000318
716,b000134,GGC076,c000153
717,b000135,BBR068,c000676
718,b000135,BBR068,c000247
719,b000135,BBR068,c000352
720,b000136,GGC079,c000836
721,b000136,GGC079,c000538
722,b000136,GGC079,c000290
723,b000136,GGC079,c000757
724,b000137,r06202,c000348
725,b000137,r06202,c000558
726,b000137,BBR0157,c000728
727,b000137,BBR0157,c000962
728,b000137,BBR0157,c000659
729,b000137,GGC055,c000529
730,b000137,GGC055,c000095
731,b000137,GGC055,c000457
732,b000138,r04800,c000558
733,b000139,r00901,c000512
734,b000139,GGC028,c000663
735,b000139,GGC028,c000693
736,b000139,GGC028,c000008
737,b000139,GGC028,c000926
738,b000139,r00905,c000213
739,b000139,r00905,c000834
740,b000139,r00905,c000800
741,b000139,r00905,c000226
742,b000140,GGC089,c000019
743,b000140,GGC089,c000007
744,b000140,GGC089,c000937
745,b000140,GGC089,c000856
746,b000141,GGC029,c000903
747,b000141,GGC030,c000022
748,b000141,GGC063,c000917
749,b000141,GGC063,c000857
750,b000141,GGC063,c000536
751,b000142,r03501,c000801
752,b000142,r03501,c000038
753,b000142,BBR018,c000692
754,b000142,BBR018,c000999
755,b000143,GGC048,c000055
756,b000143,GGC048,c000647
757,b000144,GGC047,c000655
758,b000144,GGC047,c000337
759,b000144,GGC047,c000822
760,b000145,BBR064,c000699
761,b000145,BBR064,c000770
762,b000145,BBR064,c000003
763,b000145,BBR064,c000831
764,b000146,r01904,c000373
765,b000146,r01904,c000769
766,b000146,r01904,c000743
767,b000146,r03902,c000406
768,b000146,GGC086,c000447
769,b000146,GGC086,c000742
770,b000146,GGC086,c000412
771,b000146,GGC086,c000974
772,b000147,r04201,c000169
773,b000147,GGC0109,c000713
774,b000147,GGC0109,c000591
775,b000148,BBR0128,c000351
776,b000148,BBR0128,c000283
777,b000148,BBR0128,c000461
778,b000148,BBR0128,c000463
779,b000149,GGC032,c000540
780,b000149,GGC032,c000643
781,b000150,B0BR04,c000252
782,b000151,r03705,c000570
783,b000151,r03705,c000982
784,b000151,r03705,c000078
785,b000151,r03705,c000922
786,b000151,r03705,c000204
787,b000152,GGC058,c000338
788,b000152,GGC058,c000191
789,b000152,GGC058,c000064
790,b000152,GGC058,c000917
791,b000153,GGC039,c000369
792,b000153,GGC039,c000913
793,b000153,GGC039,c000462
794,b000153,GGC039,c000779
795,b000154,BBR092,c000203
796,b000154,r02705,c000666
797,b000154,r02705,c000824
798,b000154,r02705,c000336
799,b000154,r02705,c000221
800,b000155,r02905,c000184
801,b000155,r02905,c000531
802,b000155,r02905,c000521
803,b000155,r02905,c000743
804,b000156,r04401,c000042
805,b000156,r04401,c000275
806,b000157,r02001,c000011
807,b000157,r02001,c000206
808,b000157,r02602,c000792
809,b000158,BBR096,c000989
810,b000158,BBR096,c000430
811,b000158,BBR096,c000606
812,b000159,r03901,c000224
813,b000159,r03901,c000505
814,b000159,r05301,c000936
815,b000159,r05301,c000576
816,b000160,GGC026,c000464
817,b000160,GGC026,c000065
818,b000160,GGC026,c000753
819,b000161,r04404,c000183
820,b000162,r04601,c000669
821,b000162,r04601,c000063
822,b000163,r04801,c000910
823,b000163,r04801,c000013
824,b000163,GGC066,c000976
825,b000164,r02604,c000102
826,b000164,r02604,c000017
827,b000164,r02604,c000824
828,b000164,r02604,c000688
829,b000164,r01005,c000440
830,b000164,r01005,c000290
831,b000164,r01005,c000599
832,b000164,r01005,c000757
833,b000164,r01005,c000100
834,b000165,BBR0146,c000769
835,b000165,BBR0146,c000174
836,b000166,BBR083,c000945
837,b000166,BBR083,c000134
838,b000167,BBR010,c000822
839,b000167,BBR010,c000898
840,b000167,r02003,c000351
841,b000167,r02003,c000324
842,b000167,r01401,c000247
843,b000167,r01401,c000456
844,b000168,GGC0104,c000177
845,b000168,GGC0104,c000850
846,b000168,GGC0104,c000653
847,b000168,GGC0104,c000228
848,b000169,GGC067,c000125
849,b000169,GGC067,c000083
850,b000169,GGC067,c000923
851,b000169,GGC067,c000738
852,b000170,r02102,c000681
853,b000171,r06401,c000062
854,b000172,GGC085,c000144
855,b000172,GGC085,c000540
856,b000172,GGC085,c000324
857,b000172,GGC085,c000627
858,b000173,r03003,c000831
859,b000173,r03003,c000986
860,b000173,r03003,c000766
861,b000173,r03003,c000060
862,b000173,GGC037,c000950
863,b000173,GGC037,c000449
864,b000173,GGC037,c000567
865,b000174,BBR0119,c000086
866,b000175,r03903,c000080
867,b000175,r03903,c000662
868,b000175,r03903,c000209
869,b000175,r03903,c000301
870,b000176,r04305,c000604
871,b000176,r04305,c000153
872,b000176,r04305,c000595
873,b000176,r04305,c000855
874,b000176,r04305,c000963
875,b000176,r04305,c000962
876,b000177,GGC0103,c000625
877,b000177,GGC0103,c000375
878,b000177,GGC0103,c000262
879,b000177,GGC0103,c000694
880,b000177,GGC056,c000882
881,b000178,r01603,c000767
882,b000178,r01603,c000863
883,b000178,r03703,c000825
884,b000178,r03703,c000252
885,b000178,r03703,c000463
886,b000179,BBR041,c000122
887,b000179,BBR041,c000685
888,b000180,r03303,c000868
889,b000180,GGC045,c000237
890,b000180,GGC045,c000618
891,b000180,GGC045,c000439
892,b000180,GGC045,c000050
893,b000181,r05101,c000242
894,b000181,r05101,c000774
895,b000182,r01405,c000215
896,b000182,r01405,c000574
897,b000182,r01405,c000626
898,b000182,GGC088,c000184
899,b000182,GGC088,c000586
900,b000183,BBR031,c000571
901,b000184,BBR055,c000760
902,b000184,BBR055,c000658
903,b000184,BBR055,c000090
904,b000184,BBR055,c000002
905,b000184,BBR055,c000192
906,b000184,BBR055,c000783
907,b000185,r04104,c000935
908,b000185,r04104,c000946
909,b000185,r04104,c000167
910,b000186,r03001,c000338
911,b000187,r03801,c000178
912,b000187,r03801,c000492
913,b000187,BBR060,c000895
914,b000187,BBR060,c000210
915,b000187,r06002,c000144
916,b000187,r06002,c000242
917,b000188,B0BR08,c000573
918,b000188,B0BR08,c000932
919,b000188,B0BR08,c000590
920,b000189,GGC043,c000058
921,b000189,GGC043,c000949
922,b000190,r03702,c000949
923,b000190,r03702,c000722
924,b000190,G0GC07,c000491
925,b000190,G0GC07,c000148
926,b000190,G0GC07,c000016
927,b000190,r03203,c000969
928,b000190,r03203,c000683
929,b000190,r03203,c000149
930,b000191,r01605,c000400
931,b000191,r01605,c000747
932,b000191,r01605,c000303
933,b000191,r01605,c000043
934,b000192,r04701,c000559
935,b000192,r04701,c000679
936,b000192,BBR099,c000231
937,b000192,BBR099,c000051
938,b000192,BBR099,c000136
939,b000192,G0GC09,c000870
940,b000192,G0GC09,c000407
941,b000193,r05501,c000814
942,b000193,BBR070,c000429
943,b000193,BBR070,c000971
944,b000193,r00903,c000859
945,b000193,r00903,c000098
946,b000193,r00903,c000781
947,b000193,BBR0127,c000990
